kata_awal,kata_stemming
jawa,jawa
membaca,membaca
karya,karya
karya,karya
max,max
havelaar,havelaar
karya,karya
multatuli,multatul
tajam,tajam
mengkritik,mengkritik
kolonialisme,kolonialisme
kecerdasannya,cerdas
membentuk,membentuk
pandangan,pandang
kritis,kritis
ketidakadilan,ketidakadil
sosial,sosial
posisi,posisi
perempuan,perempuan
masyarakat,masyarakat
kolonial,kolonial
penghormatan,penghormat
mendalam,mendalam
kartini,kartin
salah,salah
satunya,satu
pramoedya,pramoedya
ananta,ananta
toer,toer
buku,buku
panggil,panggil
kartini,kartin
buku,buku
setebal,setebal
304,304
halaman,halaman
42,42
persennya,persen
membahas,membahas
kartini,kartin
pemikir,pemikir
politik,politik
progresif,progresif
ikon,ikon
domestik,domestik
simbol,simbol
emansipasi,emansipasi
ala,ala
kolonial,kolonial
surat,surat
surat,surat
kartini,kartin
diterjemahkan,terjemah
42,42
bahasa,bahasa
bukti,bukti
gagasannya,gagas
memiliki,milik
pengaruh,pengaruh
global,global
melampaui,lampau
zamannya,zaman
fondasi,fondasi
bangsa,bangsa
berdaya,berdaya
saing,saing
120,120
surat,surat
surat,surat
kartini,kartin
kali,kali
diterbitkan,terbit
1903,1903
menggugah,menggugah
kesadaran,sadar
orang,orang
indonesia,indonesia
berubah,rubah
perjuangan,perjuang
kesetaraan,kesetara
jender,jender
selesai,selesai
diskriminasi,diskriminasi
ketimpangan,timpang
jumpai,jumpa
lini,lini
kehidupan,hidup
laporan,lapor
global,global
gender,gender
gap,gap
index,index
2023,2023
dirilis,rilis
world,world
economic,economic
forum,forum
menempatkan,menempat
indonesia,indonesia
peringkat,peringkat
87,87
146,146
negara,negara
skor,skor
mengalami,mengalam
perubahan,rubah
2022,2022
0,0
697,697
menandakan,menanda
indonesia,indonesia
mencapai,mencapa
69,69
7,7
persen,persen
kesetaraan,kesetara
jender,jender
konteks,konteks
legislatif,legislatif
keterwakilan,keterwakil
perempuan,perempuan
dpr,dpr
ri,r
hasil,hasil
pemilu,milu
2024,2024
21,21
9,9
persen,persen
tipis,tipis
20,20
5,5
persen,persen
periode,periode
2019,2019
2024,2024
angka,angka
ambang,ambang
batas,batas
afirmatif,afirmatif
30,30
persen,persen
diamanatkan,amanat
undang,undang
undang,undang
uu,uu
no,no
2,2
2008,2008
partai,partai
politik,politik
uu,uu
no,no
7,7
2017,2017
pemilu,milu
18,18
partai,partai
peserta,serta
pemilu,milu
2024,2024
berhasil,berhasil
memenuhi,memenuh
keterwakilan,keterwakil
perempuan,perempuan
proporsional,proporsional
fraksi,fraksi
parlemen,parlemen
menandakan,menanda
sistem,sistem
politik,politik
dibelenggu,belenggu
dominasi,dominasi
struktural,struktural
laki,laki
laki,laki
kultur,kultur
patriarki,patriark
mengakar,mengakar
studi,studi
mckinsey,mckinsey
and,and
company,company
perusahaan,perusaha
keberagaman,keberagam
jender,jender
memiliki,milik
25,25
persen,persen
mengalami,mengalam
profitabilitas,profitabilitas
dibandingkan,banding
rekan,rekan
rekan,rekan
forbes,forbes
2020,2020
partisipasi,partisipasi
perempuan,perempuan
politik,politik
tuntutan,tuntut
representasi,representasi
syarat,syarat
mutlak,mutlak
demokrasi,demokrasi
sehat,sehat
responsif,responsif
buku,buku
panggil,panggil
kartini,kartin
pramoedya,pramoedya
mengutip,mengutip
surat,surat
kartini,kartin
estelle,estelle
zeehandelaar,zeehandelaar
25,25
mei,mei
1899,1899
besaran,saran
mewujudkan,wujud
cita,cita
citaku,cita
menaikkan,naik
derajat,derajat
peradaban,peradab
rakyat,rakyat
pernyataan,pernyata
retorika,retorika
kartini,kartin
perjuangannya,perjuang
perjuangan,perjuang
politik,politik
perjuangan,perjuang
membebaskan,membebas
rakyat,rakyat
belenggu,belenggu
kolonialisme,kolonialisme
feodalisme,feodalisme
pendidikan,pendidi
kesadaran,sadar
kritis,kritis
kartini,kartin
politik,politik
etis,etis
kartini,kartin
mencalonkan,mencalon
pejabat,jabat
publik,publik
mempraktikkan,mempraktik
politik,politik
etis,etis
otentik,otentik
politik,politik
berpihak,berpihak
kaum,kaum
tertindas,tertindas
kepentingan,penting
elektoral,elektoral
mengkritik,mengkritik
sistem,sistem
feodalisme,feodalisme
jawa,jawa
kolonialisme,kolonialisme
belanda,belanda
bersamaan,bersama
kekuatan,kuat
hegemonik,hegemonik
mengunci,mengunc
perempuan,perempuan
penjara,penjara
domestik,domestik
ketidaktahuan,ketidaktahu
perjuangan,perjuang
kartini,kartin
perjuangan,perjuang
kelas,kelas
perjuangan,perjuang
jender,jender
kartini,kartin
hidup,hidup
barangkali,barangkali
bersuara,bersuara
lantang,lantang
minimnya,minim
perempuan,perempuan
kepemimpinan,kepemimpin
strategis,strategis
partai,partai
politik,politik
rendahnya,rendah
anggaran,anggar
responsif,responsif
jender,jender
apbn,apbn
tingginya,tinggi
angka,angka
kekerasan,keras
berbasis,berbasis
jender,jender
data,data
komnas,komnas
perempuan,perempuan
2023,2023
mencatat,mencatat
289,289
111,111
kekerasan,keras
perempuan,perempuan
angka,angka
turun,turun
12,12
persen,persen
dibandingkan,banding
2022,2022
keberpihakan,keberpiha
politik,politik
kuat,kuat
isu,isu
cita,cita
cita,cita
kartini,kartin
terhenti,terhent
upacara,upacara
simbolik,simbolik
tahunan,tahun
kemajuan,maju
diukur,ukur
perempuan,perempuan
duduk,duduk
parlemen,parlemen
terlibat,terlibat
pembuatan,pembuat
keputusan,putus
strategis,strategis
bank,bank
dunia,dunia
mencatat,mencatat
negara,negara
negara,negara
indeks,indeks
kesetaraan,kesetara
jender,jender
cenderung,cenderung
memiliki,milik
pertumbuhan,pertumbuh
ekonomi,ekonomi
stabil,stabil
merata,rata
kebijakan,kebija
publik,publik
dihasilkan,hasil
inklusif,inklusif
berkeadilan,berkeadil
sosial,sosial
tingkat,tingkat
lokal,lokal
keberadaan,keberada
pemimpin,pemimpin
perempuan,perempuan
terbukti,terbukt
berdampak,berdampak
positif,positif
kualitas,kualitas
layanan,layan
publik,publik
studi,studi
un,un
women,women
kepala,kepala
daerah,daerah
perempuan,perempuan
cenderung,cenderung
memperhatikan,memperhati
isu,isu
pendidikan,pendidi
kesehatan,sehat
anak,anak
pemberantasan,pemberantas
kemiskinan,miskin
berbasis,berbasis
komunitas,komunitas
sejalan,sejal
semangat,semangat
kartini,kartin
perempuan,perempuan
obyek,obyek
pembangunan,pembangun
subyek,subyek
membentuk,membentuk
arah,arah
prioritas,prioritas
pembangunan,pembangun
relevan,relevan
memperingati,memperingat
kartini,kartin
sebatas,batas
mengenakan,mengena
kebaya,kebaya
menyanyikan,nyanyi
lagu,lagu
kartini,kartin
instansi,instansi
pemerintah,pemerin
menagih,menagih
janji,janji
konstitusi,konstitusi
warga,warga
negara,negara
diskriminasi,diskriminasi
jender,jender
berhak,berhak
pendidikan,pendidi
pekerjaan,kerja
partisipasi,partisipasi
politik,politik
agenda,agenda
politik,politik
perempuan,perempuan
ditempatkan,tempat
pinggiran,pinggir
arus,arus
utama,utama
pembangunan,pembangun
nasional,nasional
mewujudkan,wujud
cita,cita
cita,cita
kartini,kartin
konteks,konteks
politik,politik
modern,modern
langkah,langkah
konkret,konkret
menyentuh,menyentuh
akar,akar
struktural,struktural
menghambat,menghambat
partisipasi,partisipasi
perempuan,perempuan
langkah,langkah
mendasar,mendasar
mendorong,mendorong
reformasi,reformasi
internal,internal
partai,partai
politik,politik
partai,partai
pintu,pintu
gerbang,gerbang
utama,utama
politik,politik
elektoral,elektoral
berkomitmen,berkomitmen
sistem,sistem
rekrutmen,rekrutmen
kaderisasi,kaderisasi
inklusif,inklusif
gender,gender
partai,partai
menanggalkan,menanggal
praktik,praktik
praktik,praktik
patriarkal,patriarkal
menghambat,menghambat
kemunculan,muncul
pemimpin,pemimpin
perempuan,perempuan
membangun,membangun
ekosistem,ekosistem
politik,politik
mendukung,mendukung
memberdayakan,memberdaya
aman,aman
perempuan,perempuan
sisi,sisi
regulasi,regulasi
penguatan,penguat
afirmasi,afirmasi
keterwakilan,keterwakil
perempuan,perempuan
agenda,agenda
legislatif,legislatif
berkelanjutan,berkelanjut
pemerintah,pemerin
dpr,dpr
serius,serius
mengevaluasi,mengevaluas
implementasi,implementasi
kebijakan,kebija
afirmasi,afirmasi
30,30
persen,persen
keterwakilan,keterwakil
perempuan,perempuan
daftar,daftar
calon,calon
legislatif,legislatif
penguatan,penguat
sanksi,sanksi
bersifat,bersifat
mengikat,mengikat
partai,partai
memenuhi,memenuh
ketentuan,tentu
aspek,aspek
pendanaan,pendana
faktor,faktor
krusial,krusial
meningkatkan,meningkat
partisipasi,partisipasi
politik,politik
perempuan,perempuan
kompetisi,kompetisi
politik,politik
ditentukan,tentu
kekuatan,kuat
modal,modal
negara,negara
hadir,hadir
skema,skema
pendanaan,pendana
kampanye,kampanye
inklusif,inklusif
jender,jender
matching,matching
fund,fund
subsidi,subsidi
kampanye,kampanye
calon,calon
perempuan,perempuan
kalangan,kalang
akar,akar
rumput,rumput
mengurangi,mengurang
ketimpangan,timpang
akses,akses
sumber,sumber
daya,daya
politik,politik
membuka,membuka
ruang,ruang
setara,tara
perempuan,perempuan
bersaing,bersaing
menang,menang
kontestasi,kontestas
elektoral,elektoral
investasi,investasi
pendidikan,pendidi
politik,politik
perempuan,perempuan
muda,muda
investasi,investasi
jangka,jangka
demokrasi,demokrasi
program,program
program,program
pendidikan,pendidi
politik,politik
berbasis,berbasis
komunitas,komunitas
lembaga,lembaga
pendidikan,pendidi
organisasi,organisasi
masyarakat,masyarakat
sipil,sipil
ormas,ormas
keagamaan,agama
diperluas,diperluas
mencetak,mencetak
generasi,generasi
pemimpin,pemimpin
perempuan,perempuan
kartini,kartin
dibekali,bekal
kecakapan,cakap
intelektual,intelektual
keberanian,berani
moral,moral
literasi,literas
digital,digital
ketajaman,tajam
analisis,analisis
kebijakan,kebija
menavigasi,menavigas
kompleksitas,kompleksitas
dunia,dunia
politik,politik
berubah,rubah
upaya,upaya
kesetaraan,kesetara
jender,jender
diwujudkan,wujud
nyata,nyata
anggaran,anggar
responsif,responsif
gender,gender
arg,arg
level,level
pemerintahan,pemerintah
arg,arg
kewajiban,wajib
administratif,administratif
alat,alat
pembangunan,pembangun
memperhatikan,memperhati
kebutuhan,butuh
perempuan,perempuan
adil,adil
perencanaan,rencana
evaluasi,evaluasi
komitmen,komitmen
negara,negara
inpres,inpres
no,no
9,9
2000,2000
mewajibkan,wajib
kementerian,menteri
lembaga,lembaga
memasukkan,masuk
perspektif,perspektif
jender,jender
program,program
daerah,daerah
dipertegas,dipertegas
permendagri,permendagr
no,no
67,67
2011,2011
arg,arg
masuk,masuk
dokumen,dokumen
perencanaan,rencana
nasional,nasional
rpjmn,rpjmn
dijalankan,jalan
instansi,instansi
praktiknya,praktik
pemerintah,pemerin
daerah,daerah
arg,arg
formalitas,formalitas
agenda,agenda
politik,politik
kartini,kartin
simbol,simbol
perlawanan,perlawan
ketertindasan,ketertindas
struktural,struktural
eksklusi,eksklus
sosial,sosial
kartini,kartin
pengingat,pengingat
bangsa,bangsa
merdeka,merdeka
penduduknya,penduduk
disisihkan,sisih
ruang,ruang
publik,publik
pengambilan,pengambil
keputusan,putus
potensi,potensi
perempuan,perempuan
energi,energi
perubahan,rubah
energi,energi
mengalir,mengalir
denyut,denyut
kebijakan,kebija
publik,publik
perempuan,perempuan
pelengkap,lengkap
demokrasi,demokrasi
pilar,pilar
utama,utama
menjaga,menjaga
akal,akal
sehat,sehat
keberagaman,keberagam
indonesia,indonesia
perempuan,perempuan
berdaya,berdaya
slogan,slogan
fondasi,fondasi
indonesia,indonesia
adil,adil
makmur,makmur
merdeka,merdeka
cita,cita
cita,cita
kartini,kartin
perempuan,perempuan
masyarakat,masyarakat
adil,adil
egaliter,egaliter
bermartabat,bermartabat
perempuan,perempuan
ruang,ruang
berkembang,berkembang
demokrasi,demokrasi
hidup,hidup
pembangunan,pembangun
berkeadilan,berkeadil
selamat,selamat
kartini,kartin
tati,tat
noviati,noviat
tenaga,tenaga
ahli,ahli
dpr,dpr
ri,r
termasyhur,termasyhur
cinta,cinta
manusia,manusia
kebenaran,benar
ra,ra
kartini,kartin
surat,surat
abendanon,abendanon
1,1
agustus,agustus
1903,1903
gempuran,gempur
teknologi,teknologi
pergeseran,pergeser
budaya,budaya
digital,digital
kerap,kerap
lupa,lupa
simbol,simbol
simbol,simbol
hadir,hadir
keseharian,kesehari
menghilang,menghilang
salah,salah
satunya,satu
wajah,wajah
ra,ra
kartini,kartin
uang,uang
kertas,kertas
era,era
cashless,cashless
society,society
transaksi,transaksi
qris,qris
e,e
wallet,wallet
mobile,mobile
banking,banking
representasi,representasi
visual,visual
tokoh,tokoh
perempuan,perempuan
melekat,lekat
dompet,dompet
rakyat,rakyat
perlahan,perlahan
lenyap,lenyap
pandangan,pandang
dunia,dunia
digital,digital
cepat,cepat
wajah,wajah
patut,patut
perginya,pergi
simbol,simbol
simbol,simbol
perempuan,perempuan
kartini,kartin
21,21
april,april
bangsa,bangsa
indonesia,indonesia
mengenang,mengenang
ra,ra
kartini,kartin
pelopor,pelopor
emansipasi,emansipasi
perempuan,perempuan
peringatan,peringat
terjebak,terjebak
seremoni,seremoni
lomba,lomba
kebaya,kebaya
unggahan,unggah
bertema,bertema
pastel,pastel
kutipan,kutip
viral,viral
pemikiran,pemikir
kartini,kartin
menulis,menulis
keberanian,berani
kegelisahan,gelisah
menantang,menantang
tatanan,tatanan
mengekang,mengekang
perempuan,perempuan
belajar,belajar
berpikir,berpikir
bebas,bebas
kartini,kartin
perempuan,perempuan
menuntut,menuntut
perubahan,rubah
struktur,struktur
sosial,sosial
keyakinan,yakin
emansipasi,emansipasi
kebebasan,bebas
individual,individual
kebebasan,bebas
kolektif,kolektif
berpikir,berpikir
kartini,kartin
perempuan,perempuan
wajahnya,wajah
muncul,muncul
uang,uang
kertas,kertas
indonesia,indonesia
pecahan,pecah
rp,rp
5,5
1953,1953
rp,rp
10,10
000,000
1985,1985
langkah,langkah
simbolik,simbolik
kuat,kuat
negara,negara
mengakui,mengaku
peran,peran
perempuan,perempuan
narasi,narasi
kebangsaan,bangsa
menyematkannya,menyemat
medium,medium
luas,luas
sirkulasinya,sirkulasi
uang,uang
wajah,wajah
kartini,kartin
tercetak,tercetak
versi,versi
ditertibkan,tertib
perempuan,perempuan
cerdas,cerdas
anggun,anggun
berbakti,berbakt
mengguncang,mengguncang
tatanan,tatanan
wajah,wajah
kartini,kartin
uang,uang
kertas,kertas
representasi,representasi
emansipasi,emansipasi
diterima,terima
berprestasi,berprestas
bingkai,bingkai
sopan,sopan
nasionalis,nasionalis
simbol,simbol
abadi,abadi
uang,uang
fisik,fisik
kartini,kartin
beredar,beredar
koleksi,koleksi
langka,langka
numismatis,numismatis
tokoh,tokoh
perempuan,perempuan
cut,cut
nyak,nyak
dhien,dhien
cut,cut
meutia,meutia
menggantikan,mengganti
proporsi,proporsi
pahlawan,pahlawan
perempuan,perempuan
sejarah,sejarah
uang,uang
indonesia,indonesia
timpang,timpang
total,total
tokoh,tokoh
tampil,tampil
uang,uang
rupiah,rupiah
80,80
persen,persen
laki,laki
laki,laki
ketimpangan,timpang
mencerminkan,mencermin
sempitnya,sempit
ruang,ruang
representasi,representasi
perempuan,perempuan
narasi,narasi
visual,visual
negara,negara
uang,uang
berpindah,berpindah
tangan,tangan
wajah,wajah
kartini,kartin
berpindah,berpindah
menyapa,menyapa
pasar,pasar
perkantoran,perkantor
transaksi,transaksi
digital,digital
wajah,wajah
tokoh,tokoh
perempuan,perempuan
hadir,hadir
interaksi,interaksi
ekonomi,ekonomi
harian,hari
dunia,dunia
digital,digital
menciptakan,mencipta
efisiensi,efisiensi
menghapus,menghapus
jejak,jejak
simbolis,simbolis
menanamkan,menanam
ingatan,ingat
kolektif,kolektif
hilangnya,hilang
uang,uang
fisik,fisik
hilangnya,hilang
kehadiran,hadir
perempuan,perempuan
ruang,ruang
publik,publik
ekonomi,ekonomi
representasi,representasi
muncul,muncul
seremoni,seremoni
tahunan,tahun
makna,makna
perjuangan,perjuang
perempuan,perempuan
realitas,realitas
keseharian,kesehari
menggali,menggal
ulang,ulang
sejarah,sejarah
kartini,kartin
simbol,simbol
pemikir,pemikir
gelisah,gelisah
tajam,tajam
progresif,progresif
membentuk,membentuk
ulang,ulang
ingatan,ingat
kolektif,kolektif
perjuangan,perjuang
perempuan,perempuan
festival,festival
tahunan,tahun
figur,figur
museum,museum
menciptakan,mencipta
ruang,ruang
ruang,ruang
pemikiran,pemikir
kartini,kartin
pendidikan,pendidi
media,media
kebijakan,kebija
publik,publik
representasi,representasi
perempuan,perempuan
dunia,dunia
digital,digital
diperluas,diperluas
tokoh,tokoh
perempuan,perempuan
kontemporer,kontemporer
tampil,tampil
konten,konten
visual,visual
kepemimpinan,kepemimpin
teknologi,teknologi
budaya,budaya
populer,populer
kritis,kritis
dipilih,pilih
negara,negara
mewakili,wakil
perempuan,perempuan
sejarah,sejarah
visual,visual
tokoh,tokoh
ditampilkan,tampil
kartini,kartin
dulunya,dulu
radikal,radikal
dijadikan,jadi
simbol,simbol
netral,netral
surat,surat
surat,surat
kartini,kartin
penuh,penuh
kegelisahan,gelisah
ketimpangan,timpang
relevan,relevan
dunia,dunia
digital,digital
serba,serba
canggih,canggih
terjebak,terjebak
definisi,definisi
dibatasi,batas
layar,layar
algoritma,algoritma
teknologi,teknologi
memudahkan,mudah
akses,akses
informasi,informasi
menimbulkan,menimbul
jarak,jarak
simbol,simbol
makna,makna
sejati,sejati
merawat,rawat
ingatan,ingat
sahih,sahih
melestarikan,lestari
citra,citra
dibakukan,baku
kartini,kartin
tampil,tampil
gambar,gambar
uang,uang
kertas,kertas
kutipan,kutip
kutipan,kutip
bertahan,bertah
sehari,sehar
berkebaya,berkebaya
sehari,sehar
penuh,penuh
perjuangan,perjuang
kartini,kartin
penampilan,penampil
visual,visual
pemikiran,pemikir
kartini,kartin
memprovokasi,memprovokas
berpikir,berpikir
melampaui,lampau
batas,batas
menantang,menantang
ketidakadilan,ketidakadil
tersembunyi,tersembuny
sistem,sistem
tergoyahkan,tergoyah
generasi,generasi
muda,muda
menghidupkan,menghidup
semangat,semangat
kartini,kartin
dunia,dunia
serba,serba
digital,digital
uang,uang
kertas,kertas
ruang,ruang
digital,digital
inklusif,inklusif
suara,suara
kebijakan,kebija
adil,adil
keberanian,berani
mengangkat,mengangkat
suara,suara
perempuan,perempuan
arus,arus
zaman,zaman
berubah,rubah
cepat,cepat
merawat,rawat
pemikiran,pemikir
kartini,kartin
kebun,kebun
nirkertas,nirkertas
menanamnya,menanam
bentuk,bentuk
edukasi,edukasi
luas,luas
budaya,budaya
populer,populer
mencakup,mencakup
identitas,identitas
kebijakan,kebija
memperjuangkan,memperjuang
kesetaraan,kesetara
batas,batas
tiada,tiada
awan,awan
langit,langit
berubah,rubah
hujan,hujan
hilang,hilang
ra,ra
kartini,kartin
surat,surat
stella,stella
27,27
oktober,oktober
1902,1902
semoga,moga
awan,awan
berubah,rubah
hujan,hujan
menyuburkan,menyubur
dunia,dunia
setara,tara
adil,adil
inklusif,inklusif
semangat,semangat
kartini,kartin
hidup,hidup
ruang,ruang
ciptakan,cipta
media,media
massa,massa
memiliki,milik
peran,peran
membentuk,membentuk
opini,opini
publik,publik
sumber,sumber
informasi,informasi
utama,utama
masyarakat,masyarakat
media,media
massa,massa
memiliki,milik
kekuatan,kuat
mempengaruhi,mempengaruh
pandangan,pandang
sikap,sikap
publik,publik
isu,isu
peristiwa,peristiwa
media,media
massa,massa
berperan,berper
sumber,sumber
informasi,informasi
utama,utama
masyarakat,masyarakat
platform,platform
surat,surat
kabar,kabar
majalah,majalah
radio,radio
televisi,televisi
internet,internet
media,media
massa,massa
berita,berita
informasi,informasi
topik,topik
politik,politik
ekonomi,ekonomi
sosial,sosial
budaya,budaya
masyarakat,masyarakat
mengandalkan,mengandal
media,media
massa,massa
berita,berita
terkini,terkin
mendalam,mendalam
isu,isu
isu,isu
terkait,terkait
kehidupan,hidup
informasi,informasi
disajikan,saji
media,media
massa,massa
membentuk,membentuk
persepsi,persepsi
pemahaman,pemaham
masyarakat,masyarakat
media,media
massa,massa
memiliki,milik
peran,peran
membentuk,membentuk
agenda,agenda
publik,publik
menentukan,menentu
isu,isu
isu,isu
dianggap,anggap
dibahas,bahas
masyarakat,masyarakat
media,media
massa,massa
memilih,memilih
liputan,liput
luas,luas
isu,isu
mempengaruhi,mempengaruh
perhatian,perhati
perbincangan,perbincang
publik,publik
media,media
massa,massa
membantu,membantu
menentukan,menentu
isu,isu
isu,isu
dianggap,anggap
relevan,relevan
mendesak,mendesak
masyarakat,masyarakat
mempengaruhi,mempengaruh
agenda,agenda
kebijakan,kebija
publik,publik
media,media
massa,massa
kali,kali
platform,platform
diskusi,diskusi
debat,debat
isu,isu
isu,isu
kontroversial,kontroversial
surat,surat
kabar,kabar
acara,acara
televisi,televisi
media,media
sosial,sosial
media,media
massa,massa
ruang,ruang
pandangan,pandang
pendapat,pendapat
berbeda,berbeda
masyarakat,masyarakat
mendengar,mendengar
sudut,sudut
pandang,pandang
debat,debat
berkelanjutan,berkelanjut
diskusi,diskusi
membantu,membantu
membentuk,membentuk
opini,opini
publik,publik
ruang,ruang
pendapat,pendapat
pemikiran,pemikir
media,media
massa,massa
berperan,berper
pengawasan,pengawas
pemerintah,pemerin
institusi,institusi
investigasi,investigasi
jurnalistik,jurnalistik
melaporkan,lapor
pelanggaran,langgar
korupsi,korupsi
ketidakadilan,ketidakadil
media,media
massa,massa
kontrol,kontrol
publik,publik
pemerintah,pemerin
institusi,institusi
media,media
massa,massa
membantu,membantu
membentuk,membentuk
opini,opini
publik,publik
fakta,fakta
mengkritisi,mengkritis
kebijakan,kebija
tindakan,tinda
dianggap,anggap
sesuai,sesuai
kepentingan,penting
masyarakat,masyarakat
media,media
massa,massa
memiliki,milik
kemampuan,mampu
membentuk,membentuk
sikap,sikap
perilaku,perilaku
masyarakat,masyarakat
pemaparan,pemapar
nilai,nilai
nilai,nilai
norma,norma
budaya,budaya
kontennya,konten
menghadapi,menghadap
isu,isu
sosial,sosial
keadilan,adil
kesetaraan,kesetara
lingkungan,lingkung
media,media
massa,massa
mempengaruhi,mempengaruh
persepsi,persepsi
tindakan,tinda
masyarakat,masyarakat
narasi,narasi
dibangun,bangun
pemberitaan,pemberita
program,program
program,program
hiburan,hibur
informasi,informasi
media,media
massa,massa
memiliki,milik
peran,peran
mengedukasi,mengedukas
masyarakat,masyarakat
program,program
pendidikan,pendidi
dokumenter,dokumenter
artikel,artikel
mendalam,mendalam
media,media
massa,massa
membantu,membantu
meningkatkan,meningkat
pengetahuan,pengetahu
pemahaman,pemaham
publik,publik
isu,isu
kompleks,kompleks
informasi,informasi
akurat,akurat
terpercaya,terpercaya
media,media
massa,massa
membantu,membantu
membentuk,membentuk
opini,opini
publik,publik
berbasis,berbasis
pengetahuan,pengetahu
pemahaman,pemaham
media,media
massa,massa
mendorong,mendorong
partisipasi,partisipasi
publik,publik
proses,proses
pengambilan,pengambil
keputusan,putus
tindakan,tinda
sosial,sosial
liputan,liput
luas,luas
isu,isu
isu,isu
partisipatif,partisipatif
pemilihan,pemilih
kampanye,kampanye
sosial,sosial
isu,isu
lingkungan,lingkung
media,media
massa,massa
mengajak,mengajak
masyarakat,masyarakat
terlibat,terlibat
aktif,aktif
mempengaruhi,mempengaruh
kebijakan,kebija
perubahan,rubah
membantu,membantu
membentuk,membentuk
opini,opini
publik,publik
berorientasi,berorientas
partisipasi,partisipasi
keterlibatan,keterlibat
aktif,aktif
kehidupan,hidup
publik,publik
media,media
massa,massa
memiliki,milik
peran,peran
mempromosikan,mempromosi
kesadaran,sadar
pemahaman,pemaham
keragaman,ragam
budaya,budaya
nilai,nilai
nilai,nilai
multikultural,multikultural
liputan,liput
inklusif,inklusif
representatif,representatif
media,media
massa,massa
memperluas,memperluas
wawasan,wawas
masyarakat,masyarakat
kelompok,kelompok
etnis,etnis
agama,agama
budaya,budaya
membantu,membantu
membentuk,membentuk
opini,opini
publik,publik
toleran,toleran
menghargai,mengharga
perbedaan,perbeda
berupaya,berupaya
membangun,membangun
harmoni,harmoni
sosial,sosial
era,era
informasi,informasi
digital,digital
media,media
massa,massa
berperan,berper
mempromosikan,mempromosi
keterbukaan,keterbuka
transparansi,transparansi
pemerintahan,pemerintah
institusi,institusi
mempublikasikan,mempublikasi
informasi,informasi
terkait,terkait
kebijakan,kebija
publik,publik
penggunaan,pengguna
anggaran,anggar
tindakan,tinda
institusi,institusi
media,media
massa,massa
membantu,membantu
mengawasi,mengawas
tindakan,tinda
pemerintah,pemerin
institusi,institusi
bertanggung,bertanggung
publik,publik
membantu,membantu
membentuk,membentuk
opini,opini
publik,publik
berbasis,berbasis
akses,akses
informasi,informasi
transparan,transparan
akuntabel,akuntabel
media,media
massa,massa
mengemban,mengemb
tanggung,tanggung
mengikuti,mengikut
prinsip,prinsip
etika,etika
jurnalistik,jurnalistik
informasi,informasi
membentuk,membentuk
opini,opini
publik,publik
media,media
massa,massa
keakuratan,akurat
keseimbangan,keseimbang
keadilan,adil
pemberitaannya,pemberita
menghindari,menghindar
sensationalisme,sensationalisme
diskriminasi,diskriminasi
manipulasi,manipulasi
informasi,informasi
prinsip,prinsip
ditegakkan,tegak
media,media
massa,massa
media,media
massa,massa
membangun,membangun
kepercayaan,percaya
publik,publik
memainkan,main
peran,peran
konstruktif,konstruktif
membentuk,membentuk
opini,opini
publik,publik
media,media
massa,massa
memiliki,milik
peran,peran
membentuk,membentuk
opini,opini
publik,publik
penyediaan,penyedia
informasi,informasi
pembentukan,pembentu
agenda,agenda
publik,publik
pencetus,pencetus
diskusi,diskusi
debat,debat
pengawasan,pengawas
pemerintah,pemerin
institusi,institusi
pembentukan,pembentu
sikap,sikap
perilaku,perilaku
pengedukasian,pengedukasi
masyarakat,masyarakat
mendorong,mendorong
partisipasi,partisipasi
publik,publik
mendorong,mendorong
kesadaran,sadar
multikultural,multikultural
mempromosikan,mempromosi
keterbukaan,keterbuka
transparansi,transparansi
menjalankan,menjalan
tanggung,tanggung
etika,etika
jurnalistik,jurnalistik
era,era
terhubung,terhubung
digital,digital
peran,peran
media,media
massa,massa
membentuk,membentuk
opini,opini
publik,publik
berdampak,berdampak
luas,luas
media,media
massa,massa
memiliki,milik
kekurangan,kurang
risiko,risiko
bias,bias
media,media
mempengaruhi,mempengaruh
pandang,pandang
publik,publik
isu,isu
media,media
massa,massa
cenderung,cenderung
memiliki,milik
kepentingan,penting
penyebaran,penyebar
berita,berita
palsu,palsu
hoaks,hoaks
informasi,informasi
terverifikasi,terverifikas
merusak,rusak
kepercayaan,percaya
masyarakat,masyarakat
media,media
massa,massa
masyarakat,masyarakat
mengembangkan,mengembang
literasi,literas
media,media
kemampuan,mampu
menganalisis,menganalisis
mengevaluasi,mengevaluas
memahami,memaham
informasi,informasi
diterima,terima
media,media
massa,massa
memahami,memaham
sumber,sumber
informasi,informasi
kredibel,kredibel
memeriksa,memeriksa
fakta,fakta
mempertimbangkan,mempertimbang
sudut,sudut
pandang,pandang
berbeda,berbeda
masyarakat,masyarakat
mengembangkan,mengembang
pemahaman,pemaham
opini,opini
berlandaskan,berlandas
informasi,informasi
akurat,akurat
konteks,konteks
demokrasi,demokrasi
media,media
massa,massa
memiliki,milik
tanggung,tanggung
ruang,ruang
sudut,sudut
pandang,pandang
pendapat,pendapat
berbeda,berbeda
adil,adil
seimbang,imbang
masyarakat,masyarakat
informasi,informasi
komprehensif,komprehensif
membangun,membangun
opini,opini
era,era
digital,digital
peran,peran
media,media
massa,massa
kompleks,kompleks
beragam,ragam
platform,platform
media,media
sosial,sosial
perkembangan,perkembang
teknologi,teknologi
individu,individu
