kata_awal,kata_stemming,kata_dasar_terdeteksi
penawaran,penawar,awa
permintaan,perminta,mi
persepsi,persepsi,per
ekspektasi,ekspektas,eks
pelaku,pela,ela
ekonomi,ekonomi,ekon
investor,investor,es
sektor,sektor,sek
keuangan,uang,uan
menentukan,menentu,menentu
dominan,dominan,dom
sayangnya,sayang,ayan
persepsi,persepsi,per
rupiah,rupiah,piah
cenderung,cenderung,cenderung
menganggap,menganggap,angga
rupiah,rupiah,piah
mata,mata,mat
uang,uang,uan
lemah,lemah,lem
diandalkan,andal,anda
ekspektasi,ekspektas,eks
rupiah,rupiah,piah
cenderung,cenderung,cenderung
mengalami,mengalam,ala
pelemahan,lemah,lem
anggaran,anggar,angga
pemerintah,pemerin,meri
rencana,rencana,ana
bisnis,bisnis,bis
perusahaan,perusaha,eru
nilai,nilai,ilai
tukar,tukar,tuk
rupiah,rupiah,piah
diproyeksikan,proyeksi,eks
mengalami,mengalam,ala
pelemahan,lemah,lem
bank,bank,ban
indonesia,indonesia,don
bi,b,b
meredam,redam,dam
volatilitas,volatilitas,ati
nilai,nilai,ilai
rupiah,rupiah,piah
menjaga,menjaga,aga
depresiasi,depresiasi,asi
melebihi,lebih,ebi
persentase,persentase,entas
persepsi,persepsi,per
ekspektasi,ekspektas,eks
negatif,negatif,ati
nilai,nilai,ilai
tukar,tukar,tuk
melemah,lemah,lem
pelemahan,lemah,lem
fundamental,fundamental,amen
ekonomi,ekonomi,ekon
taruhan,taruh,aru
nilai,nilai,ilai
tukar,tukar,tuk
rupiah,rupiah,piah
dipengaruhi,pengaruh,aru
kewibawaan,wibawa,awa
bi,b,b
otoritas,otoritas,oto
bertanggung,bertanggung,anggun
stabilitas,stabilitas,ili
rupiah,rupiah,piah
bi,b,b
dinilai,nila,nila
independen,independen,den
membiayai,membiaya,biaya
defisit,defisit,defisit
anggaran,anggar,angga
bersifat,bersifat,sif
pandemi,pandemi,demi
berkelanjutan,berkelanjut,anju
era,era,era
pemerintahan,pemerintah,meri
prabowo,prabowo,bowo
26,26,26
persen,persen,per
sun,sun,sun
dipegang,pegang,gang
bi,b,b
24,24,24
persen,persen,per
dipegang,pegang,gang
perbankan,perban,ban
kondisi,kondisi,isi
berbeda,berbeda,beda
indonesia,indonesia,don
berupaya,berupaya,beru
mengatasi,mengatas,atas
krisis,krisis,isi
1998,1998,1998
bi,b,b
independen,independen,den
langkah,langkah,angka
rekapitalisasi,rekapitalisasi,ali
perbankan,perban,ban
stabilisasi,stabilisasi,asi
inflasi,inflasi,asi
kredibilitas,kredibilitas,ili
bi,b,b
bangkit,bangkit,angkit
berperan,berper,per
rupiah,rupiah,piah
menguat,menguat,gua
signifikan,signifikan,ikan
presiden,presiden,den
bj,bj,bj
habibie,habibie,bibi
ekonomi,ekonomi,ekon
rupiahnya,rupiah,piah
pesawat,pesawat,awa
terbang,terbang,ban
jatuh,jatuh,jatuh
bebas,bebas,bas
stahl,stahl,stahl
distabilkan,stabil,stabil
terbang,terbang,ban
menanjak,menanjak,anja
ascend,ascend,ascend
menjelajah,menjelajah,aja
cruising,cruising,isi
tujuan,tuju,tuju
kredibilitas,kredibilitas,ili
kebijakan,kebija,ebi
independensi,independens,den
bank,bank,ban
sentral,sentral,sen
menentukan,menentu,menentu
program,program,gram
stabilisasi,stabilisasi,asi
dana,dana,ana
moneter,moneter,eter
internasional,internasional,asi
imf,imf,imf
berat,berat,bera
konsisten,konsisten,konsisten
dijalankan,jalan,ala
kredibilitas,kredibilitas,ili
kebijakan,kebija,ebi
ekonomi,ekonomi,ekon
terpuruk,terpuruk,puruk
dibangkitkan,bangkit,angkit
rupiah,rupiah,piah
menguat,menguat,gua
rp,rp,rp
16,16,16
700,700,700
an,an,an
rp,rp,rp
6,6,6
700,700,700
an,an,an
dollar,dollar,dol
as,as,as
tekanan,kanan,ana
politik,politik,itik
pemerintah,pemerin,meri
mendukung,mendukung,duk
kebijakan,kebija,ebi
programnya,program,gram
sejalan,sejal,eja
prinsip,prinsip,prinsip
ekonomi,ekonomi,ekon
upaya,upaya,paya
menjaga,menjaga,aga
independensi,independens,den
bi,b,b
mengalami,mengalam,ala
kesulitan,sulit,suli
ekonomi,ekonomi,ekon
cadangan,cadang,ada
devisa,devisa,devisa
meningkat,meningkat,meni
melemah,lemah,lem
kewibawaan,wibawa,awa
efektivitas,efektivitas,efek
kebijakan,kebija,ebi
pengenaan,pengena,gen
tarif,tarif,ari
impor,impor,impor
as,as,as
menambah,menambah,ambah
tekanan,kanan,ana
nilai,nilai,ilai
tukar,tukar,tuk
rupiah,rupiah,piah
perekonomian,perekonomi,ekon
menyelaraskan,menyelaras,ara
kebijakan,kebija,ebi
bi,b,b
intervensi,intervensi,intervensi
pasar,pasar,asa
keuangan,uang,uan
menstabilkan,menstabil,mens
nilai,nilai,ilai
tukar,tukar,tuk
mata,mata,mat
uang,uang,uan
langkah,langkah,angka
membutuhkan,membutuh,butuh
biaya,biaya,biaya
menambah,menambah,ambah
beban,beban,ban
volume,volume,lum
cadangan,cadang,ada
devisa,devisa,devisa
kebijakan,kebija,ebi
mewajibkan,wajib,aji
eksportir,eksportir,eks
sumber,sumber,sum
daya,daya,daya
alam,alam,ala
menyimpan,menyimp,nyi
devisa,devisa,devisa
ekspornya,ekspor,eks
negeri,negeri,neger
mengalami,mengalam,ala
peningkatan,peningkat,ning
kewibawaan,wibawa,awa
otoritas,otoritas,oto
moneter,moneter,eter
menentukan,menentu,menentu
stabilitas,stabilitas,ili
rupiah,rupiah,piah
keuangan,uang,uan
kewibawaan,wibawa,awa
ditegakkan,tegak,tega
cadangan,cadang,ada
devisa,devisa,devisa
ditingkatkan,tingkat,tin
intervensi,intervensi,intervensi
pasar,pasar,asa
terukur,terukur,eru
koordinasi,koordinasi,asi
kebijakan,kebija,ebi
ekonomi,ekonomi,ekon
konstruktif,konstruktif,konstruktif
upaya,upaya,paya
mendorong,mendorong,dor
aliran,alir,ali
modal,modal,dal
negeri,negeri,neger
menghadapi,menghadap,ada
pengenaan,pengena,gen
tarif,tarif,ari
resiprokal,resiprokal,es
32,32,32
persen,persen,per
trump,trump,rum
penerapannya,penerap,era
ditangguhkan,tangguh,angguh
90,90,90
kemampuan,mampu,ampu
diplomasi,diplomasi,asi
indonesia,indonesia,don
bernegosiasi,bernegosias,ego
krusial,krusial,kru
indonesia,indonesia,don
posisi,posisi,isi
retaliasi,retalias,ali
tarif,tarif,ari
resiprokal,resiprokal,es
as,as,as
balasan,balas,ala
bea,bea,bea
masuk,masuk,asu
persyaratan,persyarat,ara
tingkat,tingkat,tin
komponen,komponen,kom
negeri,negeri,neger
tkdn,tkdn,tkdn
keharusan,harus,aru
menyimpan,menyimp,nyi
penerimaan,penerima,pen
ekspor,ekspor,eks
negeri,negeri,neger
hambatan,hambat,ham
perdagangan,perdagang,aga
diterapkan,terap,era
indonesia,indonesia,don
umar,umar,mar
juoro,juoro,juoro
senior,senior,sen
fellow,fellow,fellow
the,the,the
habibie,habibie,bibi
center,center,ente
kejaksaan,jaksa,aksa
banten,banten,ante
menahan,menah,mena
kepala,kepala,ala
dinas,dinas,din
lingkungan,lingkung,kung
hidup,hidup,dup
kota,kota,kota
tangerang,tangerang,era
selatan,selatan,ela
wahyunoto,wahyunoto,not
lukman,lukm,luk
selasa,selasa,asa
15,15,15
4,4,4
2025,2025,2025
wahyunoto,wahyunoto,not
tersangka,tersangka,angka
dugaan,duga,duga
korupsi,korupsi,kor
pengelolaan,pengelola,elo
sampah,sampah,pah
anggaran,anggar,angga
2024,2024,2024
senilai,nila,nila
rp,rp,rp
75,75,75
9,9,9
miliar,miliar,ili
penahanannya,penahan,pen
menyusul,menyusul,usul
penahanan,penahan,pen
direktur,direktur,direk
utama,utama,ama
pt,pt,pt
ella,ella,ella
pratama,pratama,ama
perkasa,perkasa,asa
syukron,syukron,yuk
yuliadi,yuliad,uli
mufti,mufti,mu
kejaksaan,jaksa,aksa
mengungkap,mengungkap,gun
pt,pt,pt
ella,ella,ella
pratama,pratama,ama
perkasa,perkasa,asa
memiliki,milik,ili
fasilitas,fasilitas,asi
kapasitas,kapasitas,apa
kompetensi,kompetensi,kom
pengelolaan,pengelola,elo
sampah,sampah,pah
rekayasa,rekayasa,asa
tender,tender,tender
tersangka,tersangka,angka
komisi,komisi,isi
pemberantasan,pemberantas,anta
korupsi,korupsi,kor
menahan,menah,mena
wali,wali,ali
kota,kota,kota
semarang,semarang,ara
hevearita,hevearita,ari
gunaryanti,gunaryant,arya
rahayu,rahayu,ayu
beserta,serta,serta
suaminya,suami,ami
alwin,alwin,alwin
basri,basr,bas
rabu,rabu,abu
19,19,19
2,2,2
2025,2025,2025
disangka,sangka,angka
terlibat,terlibat,iba
perkara,perkara,ara
korupsi,korupsi,kor
proyek,proyek,oyek
pengadaan,pengada,ada
barang,barang,ara
jasa,jasa,asa
lingkungan,lingkung,kung
pemerintah,pemerin,meri
kota,kota,kota
semarang,semarang,ara
jawa,jawa,awa
menerima,menerima,rim
uang,uang,uan
miliaran,miliar,ili
rupiah,rupiah,piah
berita,berita,beri
korupsi,korupsi,kor
menjerat,menjerat,era
kepala,kepala,ala
daerah,daerah,daerah
ujung,ujung,jun
barat,barat,ara
timur,timur,mu
indonesia,indonesia,don
muncul,muncul,mu
catatan,catat,cat
kompas,kompas,kom
pemilihan,pemilih,ili
kepala,kepala,ala
daerah,daerah,daerah
langsung,langsung,angsu
2005,2005,2005
2020,2020,2020
144,144,144
korupsi,korupsi,kor
daerah,daerah,daerah
korupsi,korupsi,kor
daerah,daerah,daerah
mereda,reda,reda
korupsi,korupsi,kor
pemerintahan,pemerintah,meri
daerah,daerah,daerah
halnya,hal,hal
lembaga,lembaga,aga
negara,negara,ara
tingkat,tingkat,tin
pusat,pusat,pus
mengakar,mengakar,akar
membudaya,membudaya,budaya
infrastructure,infrastructure,ras
quality,quality,ali
local,local,cal
government,government,over
spending,spending,din
and,and,and
corruption,corruption,cor
2012,2012,2012
laporan,lapor,apo
riset,riset,riset
kerja,kerja,kerja
usaid,usaid,sai
kppod,kppod,kppod
seadi,sead,sead
korupsi,korupsi,kor
mengurangi,mengurang,rang
biaya,biaya,biaya
proyek,proyek,oyek
konstruksi,konstruksi,konstruksi
5,5,5
20,20,20
persen,persen,per
total,total,tal
biaya,biaya,biaya
proyek,proyek,oyek
biaya,biaya,biaya
investasi,investasi,asi
pemeliharaan,pemelihara,ara
dikorupsi,dikorups,dik
5,5,5
persen,persen,per
keuangan,uang,uan
negara,negara,ara
berkembang,berkembang,ban
diprediksi,diprediks,dik
terbebani,terbeban,ban
18,18,18
miliar,miliar,ili
dollar,dollar,dol
as,as,as
laporan,lapor,apo
riset,riset,riset
biaya,biaya,biaya
ilegal,ilegal,ilegal
menurunkan,menurun,menu
kualitas,kualitas,ali
proyek,proyek,oyek
pemerintah,pemerin,meri
meningkatkan,meningkat,meni
anggaran,anggar,angga
belanja,belanja,anja
30,30,30
50,50,50
persen,persen,per
negara,negara,ara
berkembang,berkembang,ban
uang,uang,uan
hasil,hasil,asi
korupsi,korupsi,kor
dinikmati,nikmat,mat
pejabat,jabat,aba
pemerintah,pemerin,meri
militer,militer,ili
korupsi,korupsi,kor
menyebabkan,menyebab,bab
berkurangnya,berkurang,kur
meniadakan,meniada,ada
insentif,insentif,insentif
swasta,swasta,asta
berkapasitas,berkapasitas,apa
digandeng,gandeng,den
menjalankan,menjalan,ala
program,program,gram
pelayanan,layan,ayan
publik,publik,lik
perkotaan,perkota,kota
pengelolaan,pengelola,elo
sampah,sampah,pah
kunjung,kunjung,jun
teratasi,teratas,atas
warga,warga,warga
pembayar,pembayar,ayar
pajak,pajak,aja
korbannya,korban,ban
membangun,membangun,ban
sarana,sarana,ana
prasarana,prasarana,ana
publik,publik,lik
pengolahan,pengolah,gol
sampah,sampah,pah
mudah,mudah,dah
murah,murah,mu
prosesnya,proses,es
instan,instan,instan
penggunaan,pengguna,gun
anggaran,anggar,angga
daerah,daerah,daerah
efisien,efisien,efisien
transparan,transparan,ara
menggandeng,menggandeng,den
ketiga,tiga,iga
berkompeten,berkompeten,berko
negara,negara,ara
maju,maju,aju
mempercepat,mempercepat,cepat
terwujudnya,terwujud,ter
fasilitas,fasilitas,asi
dibutuhkan,butuh,butuh
kota,kota,kota
publik,publik,lik
elite,elite,elite
pejabat,jabat,aba
korupsi,korupsi,kor
diberantas,berantas,anta
tuntas,tuntas,tas
daerah,daerah,daerah
berkubang,berkubang,ban
negara,negara,ara
maju,maju,aju
melanjutkan,lanjut,anju
cita,cita,cit
cita,cita,cit
politik,politik,itik
kartini,kartin,arti
kartini,kartin,arti
mencalonkan,mencalon,alon
pejabat,jabat,aba
publik,publik,lik
mempraktikkan,mempraktik,emprak
politik,politik,itik
etis,etis,etis
otentik,otentik,otentik
politik,politik,itik
berpihak,berpihak,hak
kaum,kaum,aum
tertindas,tertindas,das
21,21,21
april,april,april
bangsa,bangsa,angsa
indonesia,indonesia,don
memperingati,memperingat,emper
kartini,kartin,arti
momen,momen,momen
reflektif,reflektif,reflektif
perjuangan,perjuang,jua
emansipasi,emansipasi,asi
perempuan,perempuan,empu
raden,raden,den
ajeng,ajeng,jeng
kartini,kartin,arti
hidup,hidup,dup
rezim,rezim,rezim
kolonial,kolonial,kol
hindia,hindia,dia
belanda,belanda,anda
pahlawan,pahlawan,awa
perempuan,perempuan,empu
peletak,letak,eta
dasar,dasar,asa
kesadaran,sadar,ada
kebangsaan,bangsa,angsa
keadilan,adil,adi
sosial,sosial,sia
inklusif,inklusif,inklusif
gagasan,gagas,aga
gagasannya,gagas,aga
pendidikan,pendidi,pen
kebebasan,bebas,bas
berpikir,berpikir,kir
kesetaraan,kesetara,ara
jender,jender,jender
menjadikannya,menjadi,adi
tokoh,tokoh,koh
politik,politik,itik
arti,arti,arti
substantif,substantif,anti
indonesia,indonesia,don
merdeka,merdeka,dek
surat,surat,rat
suratnya,surat,rat
sahabat,sahabat,aba
pena,pena,pen
belanda,belanda,anda
kartini,kartin,arti
kritik,kritik,itik
tajam,tajam,aja
ketidakadilan,ketidakadil,adi
struktural,struktural,struktur
dialami,alam,ala
perempuan,perempuan,empu
pribumi,pribumi,bum
akses,akses,akses
pendidikan,pendidi,pen
partisipasi,partisipasi,arti
sosial,sosial,sia
kartini,kartin,arti
pendidikan,pendidi,pen
alat,alat,ala
mobilitas,mobilitas,ili
sosial,sosial,sia
instrumen,instrumen,instrumen
transformasi,transformasi,asi
bangsa,bangsa,angsa
kartini,kartin,arti
menguasai,menguasa,asa
bahasa,bahasa,asa
belanda,belanda,anda
perancis,perancis,cis
jawa,jawa,awa
membaca,membaca,baca
karya,karya,arya
karya,karya,arya
max,max,max
havelaar,havelaar,ela
karya,karya,arya
multatuli,multatul,mu
tajam,tajam,aja
mengkritik,mengkritik,itik
kolonialisme,kolonialisme,ali
kecerdasannya,cerdas,cerdas
membentuk,membentuk,bentuk
pandangan,pandang,anda
kritis,kritis,kritis
ketidakadilan,ketidakadil,adi
sosial,sosial,sia
posisi,posisi,isi
perempuan,perempuan,empu
masyarakat,masyarakat,ara
kolonial,kolonial,kol
penghormatan,penghormat,hormat
mendalam,mendalam,ala
kartini,kartin,arti
salah,salah,ala
satunya,satu,sat
pramoedya,pramoedya,ram
ananta,ananta,ana
toer,toer,toer
buku,buku,buk
panggil,panggil,pan
kartini,kartin,arti
buku,buku,buk
setebal,setebal,bal
304,304,304
halaman,halaman,ala
42,42,42
persennya,persen,per
membahas,membahas,bah
kartini,kartin,arti
pemikir,pemikir,kir
politik,politik,itik
progresif,progresif,es
ikon,ikon,ikon
domestik,domestik,dom
simbol,simbol,bol
emansipasi,emansipasi,asi
ala,ala,ala
kolonial,kolonial,kol
surat,surat,rat
surat,surat,rat
kartini,kartin,arti
diterjemahkan,terjemah,jem
42,42,42
bahasa,bahasa,asa
bukti,bukti,buk
gagasannya,gagas,aga
memiliki,milik,ili
pengaruh,pengaruh,aru
global,global,bal
melampaui,lampau,lam
zamannya,zaman,ama
fondasi,fondasi,asi
bangsa,bangsa,angsa
berdaya,berdaya,daya
saing,saing,ain
120,120,120
surat,surat,rat
surat,surat,rat
kartini,kartin,arti
kali,kali,ali
diterbitkan,terbit,bit
1903,1903,1903
menggugah,menggugah,gah
kesadaran,sadar,ada
orang,orang,orang
indonesia,indonesia,don
berubah,rubah,bah
perjuangan,perjuang,jua
kesetaraan,kesetara,ara
jender,jender,jender
selesai,selesai,es
diskriminasi,diskriminasi,asi
ketimpangan,timpang,pan
jumpai,jumpa,jumpa
lini,lini,ini
kehidupan,hidup,dup
laporan,lapor,apo
global,global,bal
gender,gender,gen
gap,gap,gap
index,index,index
2023,2023,2023
dirilis,rilis,ili
world,world,world
economic,economic,eco
forum,forum,forum
menempatkan,menempat,empat
indonesia,indonesia,don
peringkat,peringkat,ering
87,87,87
146,146,146
negara,negara,ara
skor,skor,kor
mengalami,mengalam,ala
perubahan,rubah,bah
2022,2022,2022
0,0,0
697,697,697
menandakan,menanda,anda
indonesia,indonesia,don
mencapai,mencapa,apa
69,69,69
7,7,7
persen,persen,per
kesetaraan,kesetara,ara
jender,jender,jender
konteks,konteks,eks
legislatif,legislatif,ati
keterwakilan,keterwakil,aki
perempuan,perempuan,empu
dpr,dpr,dpr
ri,r,r
hasil,hasil,asi
pemilu,milu,ilu
2024,2024,2024
21,21,21
9,9,9
persen,persen,per
tipis,tipis,ipis
20,20,20
5,5,5
persen,persen,per
periode,periode,ode
2019,2019,2019
2024,2024,2024
angka,angka,angka
ambang,ambang,ambang
batas,batas,atas
afirmatif,afirmatif,afirmatif
30,30,30
persen,persen,per
diamanatkan,amanat,ama
undang,undang,dan
undang,undang,dan
uu,uu,uu
no,no,no
2,2,2
2008,2008,2008
partai,partai,arta
politik,politik,itik
uu,uu,uu
no,no,no
7,7,7
2017,2017,2017
pemilu,milu,ilu
18,18,18
partai,partai,arta
peserta,serta,serta
pemilu,milu,ilu
2024,2024,2024
berhasil,berhasil,asi
memenuhi,memenuh,mem
keterwakilan,keterwakil,aki
perempuan,perempuan,empu
proporsional,proporsional,ion
fraksi,fraksi,aksi
parlemen,parlemen,lem
menandakan,menanda,anda
sistem,sistem,sis
politik,politik,itik
dibelenggu,belenggu,bel
dominasi,dominasi,asi
struktural,struktural,struktur
laki,laki,aki
laki,laki,aki
kultur,kultur,kult
patriarki,patriark,patri
mengakar,mengakar,akar
studi,studi,studi
mckinsey,mckinsey,mckinsey
and,and,and
company,company,om
perusahaan,perusaha,eru
keberagaman,keberagam,aga
jender,jender,jender
memiliki,milik,ili
25,25,25
persen,persen,per
mengalami,mengalam,ala
profitabilitas,profitabilitas,fit
dibandingkan,banding,ban
rekan,rekan,kan
rekan,rekan,kan
forbes,forbes,es
2020,2020,2020
partisipasi,partisipasi,arti
perempuan,perempuan,empu
politik,politik,itik
tuntutan,tuntut,tun
representasi,representasi,asi
syarat,syarat,ara
mutlak,mutlak,lak
demokrasi,demokrasi,asi
sehat,sehat,seh
responsif,responsif,es
buku,buku,buk
panggil,panggil,pan
kartini,kartin,arti
pramoedya,pramoedya,ram
mengutip,mengutip,tip
surat,surat,rat
kartini,kartin,arti
estelle,estelle,es
zeehandelaar,zeehandelaar,ela
25,25,25
mei,mei,mei
1899,1899,1899
besaran,saran,ara
mewujudkan,wujud,uju
cita,cita,cit
citaku,cita,cit
menaikkan,naik,naik
derajat,derajat,aja
peradaban,peradab,ada
rakyat,rakyat,rak
pernyataan,pernyata,nyata
retorika,retorika,ret
kartini,kartin,arti
perjuangannya,perjuang,jua
perjuangan,perjuang,jua
politik,politik,itik
perjuangan,perjuang,jua
membebaskan,membebas,bas
rakyat,rakyat,rak
belenggu,belenggu,bel
kolonialisme,kolonialisme,ali
feodalisme,feodalisme,ali
pendidikan,pendidi,pen
kesadaran,sadar,ada
kritis,kritis,kritis
kartini,kartin,arti
politik,politik,itik
etis,etis,etis
kartini,kartin,arti
mencalonkan,mencalon,alon
pejabat,jabat,aba
publik,publik,lik
mempraktikkan,mempraktik,emprak
politik,politik,itik
etis,etis,etis
otentik,otentik,otentik
politik,politik,itik
berpihak,berpihak,hak
kaum,kaum,aum
tertindas,tertindas,das
kepentingan,penting,pen
elektoral,elektoral,lektor
mengkritik,mengkritik,itik
sistem,sistem,sis
feodalisme,feodalisme,ali
jawa,jawa,awa
kolonialisme,kolonialisme,ali
belanda,belanda,anda
bersamaan,bersama,ama
kekuatan,kuat,kuat
hegemonik,hegemonik,hegemoni
mengunci,mengunc,gun
perempuan,perempuan,empu
penjara,penjara,ara
domestik,domestik,dom
ketidaktahuan,ketidaktahu,akta
perjuangan,perjuang,jua
kartini,kartin,arti
perjuangan,perjuang,jua
kelas,kelas,ela
perjuangan,perjuang,jua
jender,jender,jender
kartini,kartin,arti
hidup,hidup,dup
barangkali,barangkali,ali
bersuara,bersuara,ara
lantang,lantang,anta
minimnya,minim,ini
perempuan,perempuan,empu
kepemimpinan,kepemimpin,impi
strategis,strategis,rat
partai,partai,arta
politik,politik,itik
rendahnya,rendah,dah
anggaran,anggar,angga
responsif,responsif,es
jender,jender,jender
apbn,apbn,apbn
tingginya,tinggi,tin
angka,angka,angka
kekerasan,keras,era
berbasis,berbasis,asi
jender,jender,jender
data,data,data
komnas,komnas,kom
perempuan,perempuan,empu
2023,2023,2023
mencatat,mencatat,cat
289,289,289
111,111,111
kekerasan,keras,era
perempuan,perempuan,empu
angka,angka,angka
turun,turun,tur
12,12,12
persen,persen,per
dibandingkan,banding,ban
2022,2022,2022
keberpihakan,keberpiha,keberpiha
politik,politik,itik
kuat,kuat,kuat
isu,isu,isu
cita,cita,cit
cita,cita,cit
kartini,kartin,arti
terhenti,terhent,ter
upacara,upacara,acar
simbolik,simbolik,bol
tahunan,tahun,hun
kemajuan,maju,aju
diukur,ukur,kur
perempuan,perempuan,empu
duduk,duduk,duduk
parlemen,parlemen,lem
terlibat,terlibat,iba
pembuatan,pembuat,bua
keputusan,putus,putu
strategis,strategis,rat
bank,bank,ban
dunia,dunia,dunia
mencatat,mencatat,cat
negara,negara,ara
negara,negara,ara
indeks,indeks,dek
kesetaraan,kesetara,ara
jender,jender,jender
cenderung,cenderung,cenderung
memiliki,milik,ili
pertumbuhan,pertumbuh,per
ekonomi,ekonomi,ekon
stabil,stabil,stabil
merata,rata,rat
kebijakan,kebija,ebi
publik,publik,lik
dihasilkan,hasil,asi
inklusif,inklusif,inklusif
berkeadilan,berkeadil,adi
sosial,sosial,sia
tingkat,tingkat,tin
lokal,lokal,lok
keberadaan,keberada,ada
pemimpin,pemimpin,impi
perempuan,perempuan,empu
terbukti,terbukt,buk
berdampak,berdampak,dam
positif,positif,pos
kualitas,kualitas,ali
layanan,layan,ayan
publik,publik,lik
studi,studi,studi
un,un,un
women,women,om
kepala,kepala,ala
daerah,daerah,daerah
perempuan,perempuan,empu
cenderung,cenderung,cenderung
memperhatikan,memperhati,ati
isu,isu,isu
pendidikan,pendidi,pen
kesehatan,sehat,seh
anak,anak,ana
pemberantasan,pemberantas,anta
kemiskinan,miskin,mi
berbasis,berbasis,asi
komunitas,komunitas,kom
sejalan,sejal,eja
semangat,semangat,emang
kartini,kartin,arti
perempuan,perempuan,empu
obyek,obyek,obyek
pembangunan,pembangun,ban
subyek,subyek,sub
membentuk,membentuk,bentuk
arah,arah,ara
prioritas,prioritas,prioritas
pembangunan,pembangun,ban
relevan,relevan,rel
memperingati,memperingat,emper
kartini,kartin,arti
sebatas,batas,atas
mengenakan,mengena,gen
kebaya,kebaya,baya
menyanyikan,nyanyi,nyanyi
lagu,lagu,lagu
kartini,kartin,arti
instansi,instansi,instan
pemerintah,pemerin,meri
menagih,menagih,agih
janji,janji,janji
konstitusi,konstitusi,itu
warga,warga,warga
negara,negara,ara
diskriminasi,diskriminasi,asi
jender,jender,jender
berhak,berhak,hak
pendidikan,pendidi,pen
pekerjaan,kerja,kerja
partisipasi,partisipasi,arti
politik,politik,itik
agenda,agenda,agen
politik,politik,itik
perempuan,perempuan,empu
ditempatkan,tempat,empat
pinggiran,pinggir,gir
arus,arus,aru
utama,utama,ama
pembangunan,pembangun,ban
nasional,nasional,asi
mewujudkan,wujud,uju
cita,cita,cit
cita,cita,cit
kartini,kartin,arti
konteks,konteks,eks
politik,politik,itik
modern,modern,mode
langkah,langkah,angka
konkret,konkret,konkret
menyentuh,menyentuh,yen
akar,akar,akar
struktural,struktural,struktur
menghambat,menghambat,ham
partisipasi,partisipasi,arti
perempuan,perempuan,empu
langkah,langkah,angka
mendasar,mendasar,asa
mendorong,mendorong,dor
reformasi,reformasi,asi
internal,internal,intern
partai,partai,arta
politik,politik,itik
partai,partai,arta
pintu,pintu,pin
gerbang,gerbang,ban
utama,utama,ama
politik,politik,itik
elektoral,elektoral,lektor
berkomitmen,berkomitmen,berko
sistem,sistem,sis
rekrutmen,rekrutmen,kru
kaderisasi,kaderisasi,asi
inklusif,inklusif,inklusif
gender,gender,gen
partai,partai,arta
menanggalkan,menanggal,angga
praktik,praktik,praktik
praktik,praktik,praktik
patriarkal,patriarkal,patri
menghambat,menghambat,ham
kemunculan,muncul,mu
pemimpin,pemimpin,impi
perempuan,perempuan,empu
membangun,membangun,ban
ekosistem,ekosistem,ekosistem
politik,politik,itik
mendukung,mendukung,duk
memberdayakan,memberdaya,daya
aman,aman,ama
perempuan,perempuan,empu
sisi,sisi,isi
regulasi,regulasi,asi
penguatan,penguat,gua
afirmasi,afirmasi,afirmasi
keterwakilan,keterwakil,aki
perempuan,perempuan,empu
agenda,agenda,agen
legislatif,legislatif,ati
berkelanjutan,berkelanjut,anju
pemerintah,pemerin,meri
dpr,dpr,dpr
serius,serius,seri
mengevaluasi,mengevaluas,alu
implementasi,implementasi,asi
kebijakan,kebija,ebi
afirmasi,afirmasi,afirmasi
30,30,30
persen,persen,per
keterwakilan,keterwakil,aki
perempuan,perempuan,empu
daftar,daftar,daftar
calon,calon,alon
legislatif,legislatif,ati
penguatan,penguat,gua
sanksi,sanksi,ksi
bersifat,bersifat,sif
mengikat,mengikat,ikat
partai,partai,arta
memenuhi,memenuh,mem
ketentuan,tentu,tentu
aspek,aspek,aspek
pendanaan,pendana,ana
faktor,faktor,aktor
krusial,krusial,kru
meningkatkan,meningkat,meni
partisipasi,partisipasi,arti
politik,politik,itik
perempuan,perempuan,empu
kompetisi,kompetisi,etis
politik,politik,itik
ditentukan,tentu,tentu
kekuatan,kuat,kuat
modal,modal,dal
negara,negara,ara
hadir,hadir,adi
skema,skema,skema
pendanaan,pendana,ana
kampanye,kampanye,kam
inklusif,inklusif,inklusif
jender,jender,jender
matching,matching,mat
fund,fund,fund
subsidi,subsidi,sidi
kampanye,kampanye,kam
calon,calon,alon
perempuan,perempuan,empu
kalangan,kalang,ala
akar,akar,akar
rumput,rumput,rum
mengurangi,mengurang,rang
ketimpangan,timpang,pan
akses,akses,akses
sumber,sumber,sum
daya,daya,daya
politik,politik,itik
membuka,membuka,buk
ruang,ruang,rua
setara,tara,ara
perempuan,perempuan,empu
bersaing,bersaing,ain
menang,menang,mena
kontestasi,kontestas,es
elektoral,elektoral,lektor
investasi,investasi,asi
pendidikan,pendidi,pen
politik,politik,itik
perempuan,perempuan,empu
muda,muda,mu
investasi,investasi,asi
jangka,jangka,angka
demokrasi,demokrasi,asi
program,program,gram
program,program,gram
pendidikan,pendidi,pen
politik,politik,itik
berbasis,berbasis,asi
komunitas,komunitas,kom
lembaga,lembaga,aga
pendidikan,pendidi,pen
organisasi,organisasi,ani
masyarakat,masyarakat,ara
sipil,sipil,pil
ormas,ormas,mas
keagamaan,agama,aga
diperluas,diperluas,luas
mencetak,mencetak,cetak
generasi,generasi,asi
pemimpin,pemimpin,impi
perempuan,perempuan,empu
